,Product,Type,Country of Origin,Method of Transportation,Organic,Seasonal,Type of Packaging,Processed,CO2_Equivalent_per_Kilo,Source,food_emissions_processing,food_emissions_animal_feed,food_emissions_land_use,food_emissions_farm,food_emissions_transport,food_emissions_retail,food_emissions_packaging
15,Fish (farmed),Fish,,,,,,,5.099999999999999,Our World in Data,0.0,0.8,0.5,3.6,0.1,0.0,0.1
16,Groundnuts,Ingredients,,,,,,,2.4,Our World in Data,0.4,0.0,0.4,1.4,0.1,0.0,0.1
17,Lamb & Mutton,Meat,,,,,,,24.5,Our World in Data,1.1,2.4,0.5,19.5,0.5,0.2,0.3
18,Maize,Vegetable,,,,,,,1.1,Our World in Data,0.1,0.0,0.3,0.5,0.1,0.0,0.1
19,Milk,Dairy,,,,,,,2.8000000000000003,Our World in Data,0.1,0.2,0.5,1.5,0.1,0.3,0.1
20,Nuts,Ingredients,,,,,,,0.2,Our World in Data,0.0,0.0,-2.1,2.1,0.1,0.0,0.1
21,Oatmeal,Grains,,,,,,,1.6,Our World in Data,0.0,0.0,0.0,1.4,0.1,0.0,0.1
22,Olive Oil,Ingredients,,,,,,,6.0,Our World in Data,0.7,0.0,-0.4,4.3,0.5,0.0,0.9
23,Onions & Leeks,Vegetable,,,,,,,0.30000000000000004,Our World in Data,0.0,0.0,0.0,0.2,0.1,0.0,0.0
24,Other Fruit,Fruit,,,,,,,0.7,Our World in Data,0.0,0.0,0.1,0.4,0.2,0.0,0.0
25,Other Pulses,nan,,,,,,,1.6,Our World in Data,0.0,0.0,0.0,1.1,0.1,0.0,0.4
26,Other Vegetables,Vegetable,,,,,,,0.5,Our World in Data,0.1,0.0,0.0,0.2,0.2,0.0,0.0
27,Palm Oil,Ingredient,,,,,,,7.6000000000000005,Our World in Data,1.3,0.0,3.1,2.1,0.2,0.0,0.9
28,Peas,Vegetable,,,,,,,0.7999999999999999,Our World in Data,0.0,0.0,0.0,0.7,0.1,0.0,0.0
29,Pig Meat,Meat,,,,,,,7.199999999999999,Our World in Data,0.3,2.9,1.5,1.7,0.3,0.2,0.3
30,Potatoes,Vegetable,,,,,,,0.30000000000000004,Our World in Data,0.0,0.0,0.0,0.2,0.1,0.0,0.0
31,Poultry Meat,Meat,,,,,,,6.1000000000000005,Our World in Data,0.4,1.8,2.5,0.7,0.3,0.2,0.2
32,Rapeseed Oil,Ingredients,,,,,,,3.7,Our World in Data,0.2,0.0,0.2,2.3,0.2,0.0,0.8
33,Rice,Grains,,,,,,,4.0,Our World in Data,0.1,0.0,0.0,3.6,0.1,0.1,0.1
34,Root Vegetables,Vegetable,,,,,,,0.30000000000000004,Our World in Data,0.0,0.0,0.0,0.2,0.1,0.0,0.0
35,Shrimps (farmed),Fish,,,,,,,11.799999999999999,Our World in Data,0.0,2.5,0.2,8.4,0.2,0.2,0.3
36,Soybean Oil,Ingredients,,,,,,,5.999999999999999,Our World in Data,0.3,0.0,3.1,1.5,0.3,0.0,0.8
37,Soymilk,Substitute,,,,,,,0.9999999999999999,Our World in Data,0.2,0.0,0.2,0.1,0.1,0.3,0.1
38,Sunflower Oil,Ingredients,,,,,,,3.5000000000000004,Our World in Data,0.2,0.0,0.1,2.1,0.2,0.0,0.9
39,Tofu,Substitute,,,,,,,3.0,Our World in Data,0.8,0.0,1.0,0.5,0.2,0.3,0.2
40,Tomatoes,Vegetable,,,,,,,1.4000000000000001,Our World in Data,0.0,0.0,0.4,0.7,0.2,0.0,0.1
41,Wheat & Rye,Grains,,,,,,,1.4000000000000004,Our World in Data,0.2,0.0,0.1,0.8,0.1,0.1,0.1
42,Wine,Drinks,,,,,,,1.4,Our World in Data,0.1,0.0,-0.1,0.6,0.1,0.0,0.7
